file,area,brightness,centroid_x,centroid_y
nasa_image_0.png,268.0,36528,96.51865671641791,458.6231343283582
nasa_image_0.png,1.0,129,179.0,452.0
nasa_image_0.png,95.0,12895,542.5368421052632,460.6
nasa_image_0.png,1.0,130,487.0,460.0
nasa_image_0.png,2.0,258,171.5,463.5
nasa_image_1.png,24.0,5102,12.5,8.583333333333334
nasa_image_1.png,26.0,5075,20.884615384615383,8.923076923076923
nasa_image_1.png,22.0,4200,29.454545454545453,8.5
nasa_image_1.png,19.0,3596,40.63157894736842,8.578947368421053
nasa_image_1.png,24.0,4431,47.041666666666664,8.583333333333334
nasa_image_1.png,22.0,4015,53.63636363636363,9.0
nasa_image_1.png,19.0,3429,60.21052631578947,8.421052631578947
nasa_image_1.png,34.0,6227,189.2941176470588,8.382352941176471
nasa_image_1.png,25.0,4898,197.56,9.0
nasa_image_1.png,21.0,3988,205.66666666666666,8.380952380952381
nasa_image_1.png,20.0,3590,217.45,8.95
nasa_image_1.png,18.0,3415,223.5,8.555555555555555
nasa_image_1.png,22.0,4145,229.9090909090909,8.5
nasa_image_1.png,21.0,3655,236.8095238095238,8.666666666666666
nasa_image_1.png,30.0,5761,364.8666666666667,8.566666666666666
nasa_image_1.png,27.0,5094,373.7037037037037,8.555555555555555
nasa_image_1.png,22.0,3981,381.6363636363636,8.818181818181818
nasa_image_1.png,25.0,4637,392.96,8.92
nasa_image_1.png,22.0,4044,400.0,8.772727272727273
nasa_image_1.png,11.0,2204,406.54545454545456,7.909090909090909
nasa_image_1.png,170.0,25174,93.5,16.0
nasa_image_1.png,344.0,53072,137.25,144.75
nasa_image_1.png,344.0,52199,227.75,144.75
nasa_image_1.png,168.0,23943,270.5,16.0
nasa_image_1.png,2.0,288,356.0,16.5
nasa_image_1.png,765.0,114034,449.03137254901964,94.13464052287581
nasa_image_1.png,1.0,132,356.0,22.0
nasa_image_1.png,2.0,259,456.5,31.0
nasa_image_1.png,2.0,260,472.5,31.0
nasa_image_1.png,1.0,131,479.0,31.0
nasa_image_1.png,1.0,129,484.0,32.0
nasa_image_1.png,3.0,391,474.3333333333333,34.333333333333336
nasa_image_1.png,1354.0,194376,434.05539143279174,51.694977843426884
nasa_image_1.png,4.0,609,496.25,42.0
nasa_image_1.png,2176.0,346539,282.31617647058823,95.71599264705883
nasa_image_1.png,3.0,394,436.0,66.0
nasa_image_1.png,1.0,129,397.0,68.0
nasa_image_1.png,3.0,394,356.0,70.0
nasa_image_1.png,2.0,260,399.0,70.5
nasa_image_1.png,3.0,387,393.0,72.0
nasa_image_1.png,291.0,45035,126.00687285223368,92.84192439862542
nasa_image_1.png,3.0,391,430.6666666666667,84.66666666666667
nasa_image_1.png,10.0,1318,425.4,86.3
nasa_image_1.png,1.0,129,447.0,88.0
nasa_image_1.png,1.0,134,521.0,92.0
nasa_image_1.png,5.0,693,374.2,99.2
nasa_image_1.png,2.0,266,120.0,119.5
nasa_image_1.png,40.0,5885,124.325,126.85
nasa_image_1.png,4.0,546,106.5,128.0
nasa_image_1.png,6.0,788,252.33333333333334,135.33333333333334
nasa_image_1.png,344.0,55073,137.25,236.25
nasa_image_1.png,8568.0,1368097,263.8702147525677,313.76482259570497
nasa_image_1.png,686.0,104407,446.75072886297374,278.99854227405245
nasa_image_1.png,5.0,722,469.8,205.6
nasa_image_1.png,2.0,269,409.0,251.5
nasa_image_1.png,1.0,129,295.0,253.0
nasa_image_1.png,2.0,259,415.0,254.5
nasa_image_1.png,13.0,1685,289.53846153846155,257.0769230769231
nasa_image_1.png,2.0,275,411.5,256.0
nasa_image_1.png,2.0,277,89.5,258.0
nasa_image_1.png,9.0,1167,281.3333333333333,259.55555555555554
nasa_image_1.png,2236.0,366041,427.3783542039356,283.5460644007156
nasa_image_1.png,3.0,389,306.3333333333333,262.6666666666667
nasa_image_1.png,4.0,540,310.5,262.5
nasa_image_1.png,3.0,397,232.0,263.0
nasa_image_1.png,3.0,399,215.66666666666666,270.0
nasa_image_1.png,2.0,258,306.5,269.0
nasa_image_1.png,2.0,262,220.5,271.0
nasa_image_1.png,2.0,262,239.0,272.5
nasa_image_1.png,4.0,519,244.0,272.25
nasa_image_1.png,2.0,261,312.0,272.5
nasa_image_1.png,1.0,130,215.0,279.0
nasa_image_1.png,1.0,131,239.0,279.0
nasa_image_1.png,1.0,129,217.0,283.0
nasa_image_1.png,7.0,950,220.0,288.0
nasa_image_1.png,6.0,777,315.0,292.5
nasa_image_1.png,7.0,940,222.28571428571428,295.7142857142857
nasa_image_1.png,1.0,129,394.0,299.0
nasa_image_1.png,1.0,129,215.0,303.0
nasa_image_1.png,1.0,129,436.0,303.0
nasa_image_1.png,1.0,129,215.0,306.0
nasa_image_1.png,1016.0,172631,109.85728346456693,329.380905511811
nasa_image_1.png,1.0,129,210.0,319.0
nasa_image_1.png,2.0,260,367.0,321.5
nasa_image_1.png,2.0,274,365.0,323.5
nasa_image_1.png,3.0,392,209.0,327.0
nasa_image_1.png,1.0,132,188.0,333.0
nasa_image_1.png,3.0,389,201.66666666666666,335.6666666666667
nasa_image_1.png,1.0,130,319.0,335.0
nasa_image_1.png,5.0,747,146.8,336.4
nasa_image_1.png,3.0,395,192.66666666666666,342.6666666666667
nasa_image_1.png,1.0,129,210.0,343.0
nasa_image_1.png,2.0,260,210.0,350.5
nasa_image_1.png,1.0,130,208.0,352.0
nasa_image_1.png,15.0,2068,205.0,355.0
nasa_image_1.png,2.0,260,296.0,353.5
nasa_image_1.png,1.0,132,9.0,361.0
nasa_image_1.png,171.0,24131,93.00584795321637,364.99415204678365
nasa_image_1.png,25.0,5165,12.6,371.84
nasa_image_1.png,26.0,5065,21.153846153846153,371.88461538461536
nasa_image_1.png,20.0,3917,29.4,372.1
nasa_image_1.png,24.0,4413,40.166666666666664,371.9166666666667
nasa_image_1.png,23.0,4269,47.08695652173913,372.04347826086956
nasa_image_1.png,23.0,3905,53.608695652173914,372.04347826086956
nasa_image_1.png,25.0,4607,59.84,371.68
nasa_image_1.png,29.0,5505,189.10344827586206,371.55172413793105
nasa_image_1.png,28.0,5195,197.28571428571428,372.0357142857143
nasa_image_1.png,22.0,4227,205.77272727272728,371.77272727272725
nasa_image_1.png,18.0,3520,217.22222222222223,372.0
nasa_image_1.png,25.0,4464,223.56,371.88
nasa_image_1.png,24.0,4281,230.04166666666666,372.5
nasa_image_1.png,22.0,4172,235.95454545454547,372.0
nasa_image_1.png,30.0,5686,364.8666666666667,371.6666666666667
nasa_image_1.png,28.0,5251,373.67857142857144,371.89285714285717
nasa_image_1.png,23.0,4171,381.82608695652175,372.04347826086956
nasa_image_1.png,21.0,3857,393.04761904761904,372.42857142857144
nasa_image_1.png,21.0,3937,400.04761904761904,371.8095238095238
nasa_image_1.png,21.0,3948,406.0952380952381,371.8095238095238
nasa_image_1.png,15.0,2938,413.2,371.93333333333334
nasa_image_2.png,1.0,131,252.0,24.0
nasa_image_2.png,1.0,133,242.0,27.0
nasa_image_2.png,1.0,129,232.0,31.0
nasa_image_2.png,12.0,1798,326.5,37.333333333333336
nasa_image_2.png,1.0,142,319.0,38.0
nasa_image_2.png,2.0,287,176.5,46.0
nasa_image_2.png,25.0,3488,215.2,54.64
nasa_image_2.png,1.0,132,273.0,55.0
nasa_image_2.png,5.0,661,289.4,55.2
nasa_image_2.png,1.0,130,295.0,56.0
nasa_image_2.png,4.0,534,291.5,57.5
nasa_image_2.png,4.0,540,371.0,57.5
